,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
422,1,1,517,0021600457,Irving 25' 3PT Jump Shot (14 PTS) (Liggins 1 AST),,7:34,4,4.0,4,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,202732,DeAndre Liggins,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,95 - 87,-8,,4:50 PM
423,1,9,518,0021600457,,,7:33,4,3.0,0,0,1610612744,,,,,,0,,,,,,0,,,,,,,,Warriors Timeout: Regular (Reg.4 Short 1),4:50 PM
424,0,8,521,0021600457,,,7:33,4,5.0,5,0,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,SUB: Curry FOR Durant,4:52 PM
425,0,8,522,0021600457,,,7:33,4,5.0,5,0,2738,Andre Iguodala,GSW,Golden State,1610612744.0,Warriors,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,SUB: Green FOR Iguodala,4:52 PM
426,0,8,523,0021600457,SUB: James FOR Liggins,,7:33,4,4.0,4,0,202732,DeAndre Liggins,CLE,Cleveland,1610612739.0,Cavaliers,2544,LeBron James,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,,4:53 PM
427,1,2,524,0021600457,,,7:20,4,5.0,0,0,202691,Klay Thompson,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Thompson 25' 3PT Jump Shot,4:53 PM
428,0,4,525,0021600457,Love REBOUND (Off:1 Def:5),,7:20,4,4.0,0,0,201567,Kevin Love,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:53 PM
429,42,1,526,0021600457,Irving 2' Driving Layup (16 PTS),,7:13,4,4.0,0,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,95 - 89,-6,,4:53 PM
430,1,5,527,0021600457,James STEAL (2 STL),,6:54,4,5.0,4,0,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,2544,LeBron James,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Green Bad Pass Turnover (P4.T16),4:54 PM
431,2,6,528,0021600457,,,6:45,4,5.0,4,1,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,2210,Richard Jefferson,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Curry S.FOUL (P4.T1) (S.Corbin),4:54 PM
432,11,3,529,0021600457,Jefferson Free Throw 1 of 2 (5 PTS),,6:45,4,4.0,0,0,2210,Richard Jefferson,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,95 - 90,-5,,4:54 PM
433,12,3,531,0021600457,Jefferson Free Throw 2 of 2 (6 PTS),,6:45,4,4.0,0,0,2210,Richard Jefferson,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,95 - 91,-4,,4:54 PM
434,7,1,533,0021600457,,,6:31,4,5.0,5,0,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,2561,David West,GSW,Golden State,1610612744.0,Warriors,0,,,,,,97 - 91,-6,Green  Dunk (12 PTS) (West 5 AST),4:55 PM
435,1,1,534,0021600457,Irving 24' 3PT Jump Shot (19 PTS),,6:12,4,4.0,0,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,97 - 94,-3,,4:55 PM
436,1,5,535,0021600457,Irving STEAL (5 STL),,5:55,4,5.0,4,0,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Green Bad Pass Turnover (P5.T17),4:55 PM
437,1,6,536,0021600457,,,5:48,4,5.0,4,1,203110,Draymond Green,GSW,Golden State,1610612744.0,Warriors,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,Green P.FOUL (P4.T2) (M.Callahan),4:56 PM
438,0,8,537,0021600457,,,5:48,4,5.0,5,0,2561,David West,GSW,Golden State,1610612744.0,Warriors,201142,Kevin Durant,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,SUB: Durant FOR West,4:56 PM
439,42,2,538,0021600457,MISS Irving 1' Driving Layup,,5:37,4,4.0,0,0,202681,Kyrie Irving,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,4:56 PM
440,0,4,539,0021600457,,,5:36,4,5.0,0,0,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Curry REBOUND (Off:0 Def:3),4:56 PM
441,1,2,540,0021600457,,,5:31,4,5.0,0,0,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Curry 25' 3PT Jump Shot,4:56 PM
442,0,4,541,0021600457,,,5:30,4,3.0,0,0,1610612744,,,,,,0,,,,,,0,,,,,,,,Warriors Rebound,4:57 PM
